A_1_1.fq.sorted.bam	B_2_1.fq.sorted.bam	C_3_1.fq.sorted.bam	D_4_1.fq.sorted.bam	E_5_1.fq.sorted.bam	F_6_1.fq.sorted.bam	R4_1.fq.sorted.bam	R4S_1.fq.sorted.bam	R5_1.fq.sorted.bam	R5S_1.fq.sorted.bam	R6_1.fq.sorted.bam	R6S_1.fq.sorted.bam
HP_RS01500	1323	1660	1063	3033	3337	3626	1696	1532	1218	1399	1485	1450
HP_RS01505	5278	8469	5296	2714	3036	3367	7530	7009	5326	7255	7160	6544
HP_RS01510	2113	2808	2514	1766	1477	1785	3796	3370	2693	3436	3461	3298
HP_RS01515	187	238	237	297	310	334	555	395	340	351	383	333
HP_RS01520	81	103	103	365	441	485	363	221	171	214	267	178
HP_RS01525	1822	1811	1990	8777	5449	5467	1269	1355	813	1240	1045	1257
HP_RS01530	5395	6326	5530	10325	6273	6572	2867	2822	2028	2675	2718	2769
HP_RS01535	2165	2376	2078	2921	2487	2557	1029	1091	762	967	1102	1061
HP_RS01540	2972	4445	2651	4493	4007	4445	1694	1450	1094	1348	1592	1427
HP_RS01545	2169	3140	1924	2242	2623	2753	2649	2160	1765	1980	2497	2234
HP_RS01550	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS01555	1070	1380	920	127	355	376	632	563	463	535	641	636
HP_RS01560	40074	51600	34074	41480	31402	34925	40554	41985	30893	42808	41987	46288
HP_RS01565	56331	74536	55613	17475	11399	11901	41381	31490	28333	28776	38002	29617
HP_RS01570	9314	11458	9249	22041	19690	20597	9543	10964	6141	10699	7999	11299
HP_RS01575	5378	5670	5445	9222	9015	9208	4786	6027	2996	5760	4016	5495
HP_RS01580	2360	3503	2104	1129	1805	1994	2964	3021	1991	3053	2588	2885
HP_RS01585	6997	9225	6871	2179	3861	3904	6734	7351	4540	7346	6069	7280
HP_RS01590	3888	4597	4346	3271	3468	3784	3972	4158	2503	3618	3458	3624
HP_RS01595	3722	4495	3853	5098	5747	5843	4970	4752	3167	4520	4030	4252
HP_RS01600	3349	3950	3298	3868	3511	3559	6621	5620	4159	5348	5161	5108
HP_RS01605	1794	2713	1707	3227	3023	3101	4400	3524	2857	3335	3443	3307
