A_1_1.fq.sorted.bam	B_2_1.fq.sorted.bam	C_3_1.fq.sorted.bam	D_4_1.fq.sorted.bam	E_5_1.fq.sorted.bam	F_6_1.fq.sorted.bam	R4_1.fq.sorted.bam	R4S_1.fq.sorted.bam	R5_1.fq.sorted.bam	R5S_1.fq.sorted.bam	R6_1.fq.sorted.bam	R6S_1.fq.sorted.bam
HP_RS06735	721	994	708	942	1048	1092	1569	1419	984	1217	1234	1279
HP_RS06740	372	512	323	1321	1367	1238	1148	939	640	926	792	850
HP_RS06745	618	849	528	1665	1834	1848	1680	1374	939	1248	1122	1360
HP_RS06750	613	779	538	691	1419	1357	1802	1784	947	1707	1126	1659
HP_RS06755	272	318	213	641	1025	981	865	715	479	692	544	717
HP_RS06760	1115	1320	930	1321	1594	1619	1884	1543	1071	1465	1386	1509
HP_RS07895	4313	6177	4014	1990	3133	3217	4266	4724	2713	4174	3465	4418
HP_RS07900	264	396	250	174	253	237	291	210	153	200	226	195
HP_RS06770	648	812	601	782	881	906	1209	813	617	821	848	780
HP_RS06775	836	1569	735	1375	1365	1659	1588	1100	953	1035	1172	979
HP_RS06780	1557	2758	1794	1730	1580	2040	2876	2272	1783	2242	2571	2202
HP_RS06785	12186	15372	12011	11961	9161	9922	13336	12431	9320	12331	12350	12821
HP_RS06790	9046	10711	8946	9288	7085	7366	10213	9365	7260	9312	9305	10025
HP_RS06795	7325	9021	7164	6749	5997	6368	8375	7526	5841	7392	7654	8154
HP_RS06800	13750	17565	13492	9401	8666	9095	16877	10383	9674	8937	12671	9086
HP_RS06805	3925	4696	3699	3375	4901	5434	5992	6151	3820	5968	4764	5997
HP_RS06810	6632	9231	5760	7452	8440	9158	10933	9372	7255	9342	9638	9472
HP_RS06815	880	1670	751	1511	1503	1876	1989	1654	1162	1353	1446	1342
HP_RS06820	215	315	181	608	810	889	502	347	262	307	307	340
HP_RS06825	252	370	249	286	554	666	454	294	289	273	327	253
HP_RS06830	1318	1408	1391	1042	1234	1095	1475	1416	1095	1335	1416	1352
HP_RS06835	2126	1598	2245	1279	1223	990	2173	2310	1472	2351	2148	2220
HP_RS06840	5393	5406	5275	2429	2941	2781	5444	6130	3770	6197	5113	6171
HP_RS06845	2018	1995	1698	5423	3377	3304	3827	3394	2438	3121	2962	3203
HP_RS06850	1127	1270	973	3754	3118	2943	2890	2381	1729	2279	2171	2250
HP_RS06855	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS06860	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS06865	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS06870	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS06875	331	357	288	854	1179	1105	745	715	449	694	523	665
HP_RS06880	1129	1578	1013	1308	1735	1612	1950	1963	1177	1908	1479	1884
HP_RS06885	922	1139	752	1016	1049	1053	1518	1411	852	1341	1028	1254
HP_RS06890	533	529	515	1276	1326	1377	1224	1109	636	1138	803	984
HP_RS06895	1793	3250	1941	1026	1161	1333	3063	3380	1776	3331	2308	2974
HP_RS06900	4945	6897	4550	2681	3178	3432	6094	6339	3964	5949	4978	5910
HP_RS06905	197	519	197	194	301	373	73	64	42	52	61	59
HP_RS06910	284	383	257	546	703	670	5879	3860	3868	3890	4869	3292
HP_RS06915	838	1026	798	3939	3171	3200	33155	21279	23019	22163	31139	23920
HP_RS06920	954	1137	732	259	391	450	1487	1176	995	1134	1244	1136
HP_RS06925	2545	3618	2436	749	842	894	2370	2188	1569	2079	2114	2090
HP_RS06930	1459	1789	1342	948	942	1017	1587	1646	931	1664	1457	1477
HP_RS06940	82	114	71	290	731	750	424	354	214	373	235	365
HP_RS06945	1152	1955	1163	516	453	525	1074	1105	708	982	953	901
HP_RS06950	1677	2984	1649	955	1039	1078	1748	1510	1172	1299	1482	1369
HP_RS06955	69	97	92	661	1085	1180	607	355	215	409	295	171
HP_RS06960	6074	18386	3514	13133	2778	4691	6168	3566	5691	4436	5709	2759
HP_RS06965	330	371	284	67	285	276	862	1166	566	1071	610	980
HP_RS06970	8549	13040	7315	2093	2027	2254	9843	9215	7590	9584	9585	9815
HP_RS06975	3102	5164	2528	952	933	1076	3285	2944	2585	3041	3201	3378
HP_RS06980	3714	5519	3230	1704	1417	1625	5048	4012	3614	4313	4784	4599
HP_RS06985	642	705	604	447	814	722	1356	1150	819	1114	1186	944
HP_RS06990	1735	1942	1656	684	839	768	1895	2054	1221	1691	1592	1798
HP_RS06995	1707	2326	1569	1426	1580	1739	2553	2621	1642	2482	2037	2533
HP_RS07000	975	1317	962	1296	1463	1562	1425	1376	1032	1301	1208	1450
HP_RS07005	734	988	747	1448	1381	1358	1483	1256	983	1127	1205	1230
HP_RS07010	1086	1611	1130	1847	1666	1730	1660	1747	1081	1535	1431	1759
HP_RS07015	756	900	650	873	1153	1089	1317	1138	820	1047	1030	1159
HP_RS07020	686	798	643	393	528	590	1300	1168	778	1129	1046	1049
HP_RS07025	448	747	369	305	350	435	724	725	497	690	613	736
HP_RS07030	820	1434	732	957	801	926	2057	1957	1303	1846	1446	1905
HP_RS07035	2716	3392	2434	4539	2365	2464	3748	4003	2419	3941	3070	4044
HP_RS07040	21811	26569	20961	22954	14733	15136	23922	25731	16110	25093	21214	25891
HP_RS07045	1602	1767	1499	617	1739	1741	2653	3051	1639	2901	2050	2713
HP_RS07050	1121	1322	1001	1140	1331	1229	1327	1128	906	1136	1055	984
HP_RS07055	791	1151	726	269	595	623	966	650	486	616	701	549
HP_RS07060	145155	106203	119181	14975	63263	63592	238653	196689	77096	259491	177366	86373
HP_RS07065	1058	1428	842	5518	5100	5149	2451	2369	1582	2297	1949	2204
HP_RS07070	1727	2391	1756	9125	6118	6286	3227	3160	2152	3155	2818	3150
HP_RS07075	7655	9210	6830	22552	18484	19258	11771	11430	8003	10977	10636	11635
HP_RS07080	4191	5244	3860	10287	10386	10464	9644	8124	5209	6898	6239	6570
HP_RS07085	10600	8108	10090	1632	10628	10631	103720	93662	59429	97348	94115	64244
HP_RS07090	136	170	159	249	169	195	272	202	185	221	296	217
HP_RS07095	1366	2042	1386	1579	1706	1888	2409	1859	1654	1874	2103	1963
HP_RS07100	1712	1985	1678	2201	1751	1951	2666	2063	1837	2156	2266	2088
HP_RS07105	107	87	81	44	89	108	316	340	114	296	176	203
HP_RS07110	23	27	18	44	77	111	72	46	37	33	43	38
HP_RS07115	3	2	2	7	4	16	4	2	0	3	1	8
HP_RS07120	10	7	3	22	14	32	15	4	3	4	8	11
HP_RS07125	1753	3039	1423	3235	920	831	3189	1340	3357	1995	2528	1242
HP_RS07130	434	666	445	610	862	972	1021	1160	534	1008	640	806
HP_RS07135	9086	9818	8777	9608	5150	5614	10584	9826	7236	9404	9366	9915
HP_RS07140	5088	6548	5113	4959	3096	3327	5223	4840	3583	4696	4622	4769
HP_RS07145	2889	4170	3074	3524	2955	3049	4401	3551	2763	3397	3502	3518
HP_RS07150	3634	4336	3249	3522	5454	5477	5734	5165	3735	5089	4410	4892
HP_RS07155	10032	12169	9356	10092	10367	10821	11440	10340	8198	10202	9848	10553
HP_RS07160	7151	9136	6714	8642	7469	7826	8403	7333	6014	7017	7296	7523
HP_RS07165	3840	5225	3761	8313	7048	7674	7267	5681	5396	5396	6387	5796
HP_RS07170	4868	6880	4860	14224	13434	14209	9637	7041	6896	6887	8581	6980
HP_RS07175	1327	1911	1147	4768	6515	6492	2366	1489	1852	1556	2095	1799
HP_RS07180	2916	3912	2435	6649	9155	8898	5436	4227	3772	4333	4743	4318
HP_RS07185	1552	2014	1274	3225	4646	4775	2864	2452	2109	2500	2570	2457
HP_RS07190	884	1162	789	3052	4584	4417	2692	1965	1735	1994	2223	2124
HP_RS07195	644	719	474	1869	2104	1962	3161	3554	2213	3815	3082	3744
HP_RS07200	14709	20304	13529	12656	12306	13291	18152	15039	12850	14770	16331	15755
HP_RS07205	9417	9849	9450	7420	6746	6941	11409	9814	8291	9691	10689	10189
HP_RS07210	14257	11907	14514	9247	9639	9501	15972	13862	11529	13918	15275	14617
HP_RS07215	7057	6753	7444	8158	7440	7593	9613	8402	6731	8399	8678	8551
HP_RS07220	26947	30843	30244	9500	11904	13444	27870	40947	17492	36031	24510	34314
HP_RS07225	2993	3248	2946	1422	1071	1054	3382	3483	2275	3387	3036	3353
HP_RS07230	9897	14544	9488	3415	2728	3137	9527	9981	6481	9727	8718	9607
HP_RS07235	5345	6702	4752	1964	1307	1340	4653	2620	2975	2415	4015	2608
HP_RS07240	2163	2912	1969	3424	2354	2517	4945	4407	3343	3964	4128	4165
HP_RS07245	2554	4160	2427	2790	2067	2380	4770	4147	3280	3882	4139	3988
HP_RS07250	1446	2207	1541	1178	1150	1336	3825	3328	2471	3513	3134	3264
HP_RS07255	845	1276	925	1190	953	953	2736	2303	1695	2250	2266	2100
HP_RS07260	940	998	1024	1360	1703	1824	3299	2712	1995	2611	2459	2470
HP_RS07265	911	1230	884	1232	1264	1376	1541	1374	970	1194	1322	1207
HP_RS07270	7752	13166	8495	6304	6758	7958	9643	8010	6500	7615	8457	7546
HP_RS07275	22477	25729	25213	14554	12673	14624	21521	20139	14463	19123	18682	19354
HP_RS07280	2988	4000	2748	2973	2748	2687	4123	3794	2521	3792	3341	3679
HP_RS07285	518	653	526	503	561	580	815	656	551	579	680	567
HP_RS07290	371	504	364	324	392	408	438	401	328	332	395	309
HP_RS07295	246	428	229	588	554	581	656	515	364	455	472	456
HP_RS07300	406	603	435	655	690	698	1028	883	641	846	883	911
HP_RS07305	871	1268	833	877	976	967	1475	1266	1074	1207	1365	1392
HP_RS07310	1513	1788	1424	1886	1651	1432	2302	1918	1573	1899	2122	2005
HP_RS07315	860	999	767	1323	1414	1260	1656	1465	1085	1504	1320	1466
HP_RS07320	1780	2154	1780	2776	2893	2808	3546	2780	2097	2790	2523	2668
HP_RS07325	3150	4039	2810	4500	4811	4547	6206	5048	3627	4567	4647	4565
HP_RS07330	3827	4492	3495	5464	4970	4750	6564	5778	4088	5608	5336	5528
HP_RS07335	3547	4540	3157	5246	4104	4073	6080	5619	4018	5205	4980	5170
HP_RS07340	2301	2913	2005	2756	2607	2731	3221	3050	2167	2808	2623	2910
HP_RS07345	3432	4041	3210	4554	3763	3944	5307	5008	3251	4600	4288	4820
HP_RS07350	2433	3037	2306	2384	2495	2669	4086	3861	2261	3560	3097	3543
HP_RS07355	620	625	574	694	1177	1142	1683	1551	937	1519	1228	1472
HP_RS07360	717	1108	654	1287	1539	1447	2021	1450	1110	1394	1476	1397
HP_RS07365	1010	1630	960	1776	1597	1574	2452	1769	1356	1508	1885	1615
HP_RS07370	1224	1467	1300	1533	1218	1190	2365	1638	1496	1440	1996	1569
HP_RS07375	2437	3870	2193	2920	2569	2638	3918	2567	2416	2285	3150	2490
HP_RS07380	2800	4005	2469	7448	4445	5097	5199	4127	2928	4151	3896	3593
HP_RS07385	1073	2353	1174	1337	1020	1320	1886	1806	1027	1664	1391	1551
HP_RS07390	608	695	635	668	580	665	1283	1162	707	1091	958	1100
HP_RS07395	1031	1343	1012	1396	1160	1227	2145	1832	1292	1773	1564	1796
HP_RS07400	811	969	683	706	1167	1160	1920	1742	1086	1770	1321	1729
HP_RS07405	2243	2969	1966	1334	1661	1598	3165	3045	2114	3055	2710	3015
HP_RS07410	10418	15417	10605	14088	14009	14271	14696	13184	10743	12068	13089	12527
HP_RS07415	2596	4253	2807	7847	4932	5258	5091	3924	3382	3755	4264	3813
HP_RS07420	452	950	410	2320	2292	2616	1793	1163	1085	1309	1414	1352
HP_RS07425	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS07430	20396	21304	21733	18077	17691	20774	19349	18715	12451	18124	15917	17717
HP_RS07435	3789	4435	3599	782	1044	1043	3317	1665	1857	1543	2740	1421
HP_RS07440	1846	3012	1705	1619	1569	1586	2253	1129	1260	1112	1711	1118
HP_RS07445	914	1381	808	1047	1462	1581	1264	940	708	932	1049	787
HP_RS07450	1162	2008	960	1399	1274	1577	1298	1219	875	1035	1092	1131
HP_RS07455	836	1524	917	1009	681	923	1050	969	623	990	892	834
HP_RS07460	5853	6490	5422	5235	6343	6746	9605	8587	6291	8382	8137	8281
HP_RS07465	2699	3481	2356	3095	2623	2668	4102	4615	2817	4407	3725	4121
HP_RS07470	2722	3530	2678	1949	1658	1663	3530	3842	2305	3835	2774	3824
HP_RS07475	2470	3806	2332	1292	1479	1675	2430	2509	1657	2719	2152	2760
HP_RS07480	1038	1597	935	646	729	937	1158	1089	800	1194	988	1328
HP_RS07485	39275	58504	42420	26452	25711	36004	45404	42169	29377	41773	39304	41218
HP_RS07490	1623	2837	1579	2776	3796	4734	3347	2231	2112	2312	2634	2545
HP_RS07495	2071	2633	2071	5112	4590	4668	2962	2317	2003	2452	2545	2358
HP_RS07500	1107	1842	1219	542	1089	1079	1754	1453	908	1313	1480	979
HP_RS07505	2273	3411	2361	1198	1777	1759	2978	2737	1900	2529	2669	2424
HP_RS07510	36	43	31	5	18	15	53	37	25	42	30	18
HP_RS07515	63	116	85	57	157	150	188	113	102	99	108	107
HP_RS07520	141	84	56	68	160	108	176	149	97	118	138	118
HP_RS07525	1897	2301	1857	659	881	941	1934	1955	1205	1991	1677	1862
HP_RS07530	752	1129	687	754	1280	1172	1701	1386	969	1362	1261	1331
HP_RS07535	5145	5869	4699	5974	7954	8199	7215	7357	5020	7509	6194	8116
HP_RS07540	3857	4496	3674	8078	7936	8029	6515	6023	4465	6308	5369	6844
HP_RS07545	787	899	772	2276	2716	2495	2747	2555	1778	2514	2309	2565
HP_RS07550	477	605	513	357	606	554	2343	2219	1641	2242	2057	2315
HP_RS07555	4616	5653	4103	2455	4612	4310	13152	14654	9163	14441	12021	14261
HP_RS07560	1796	2267	1399	2286	3009	2932	4003	3652	2224	3757	2606	3584
HP_RS07565	78	170	98	105	121	131	309	248	209	233	224	235
HP_RS07570	270	199	300	145	271	217	544	645	344	636	490	594
HP_RS07575	3093	4990	3238	3457	2671	2801	4382	4297	2829	4150	3982	4031
HP_RS07580	493	1324	557	549	463	605	781	722	497	717	634	687
HP_RS07905	202	425	225	264	314	287	295	299	232	233	249	251
HP_RS07585	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS07590	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS07595	60	107	57	230	286	272	130	121	133	100	118	107
HP_RS07600	307	295	273	788	1120	1100	884	576	510	595	673	556
HP_RS07605	7713	11462	7548	12843	6377	7082	11518	9346	8207	9076	11038	9687
HP_RS07610	13657	19122	13239	16931	11139	12383	18022	14768	13019	14797	17254	15242
HP_RS07615	6219	7057	5850	6168	5274	5823	8222	6269	5552	6398	7574	6046
HP_RS07620	2184	3896	1928	3891	3446	3626	3890	2855	2281	2777	3175	2677
HP_RS07625	878	840	1033	742	1034	952	1405	1145	872	1210	1121	1098
HP_RS07630	2382	2825	2360	3379	3049	3222	3459	2491	2013	2625	2598	2604
HP_RS07635	1303	1613	1133	2697	2817	2778	2713	2139	1700	2159	1975	2244
HP_RS07640	1699	2453	1447	3665	3566	3721	3324	2915	2070	2882	2643	2841
HP_RS07645	2141	3466	2012	3358	2821	3186	2893	2751	1940	2627	2553	2766
HP_RS07650	12288	20016	11424	14167	10543	12641	15519	15339	10507	14456	13992	15042
HP_RS07655	2772	3450	2613	3060	2598	3083	3612	3567	2578	3306	3299	3507
HP_RS07660	5988	9189	5824	8074	5214	6255	8468	7712	5537	7071	7279	7442
HP_RS07665	6496	9982	6964	4567	4045	4856	7299	7218	4800	6418	6289	6471
HP_RS07670	5295	7038	5464	2080	3070	3429	4818	5296	3281	4801	4164	4663
HP_RS07675	2562	2943	2553	3678	2358	2555	3374	3466	2293	3303	2958	3007
HP_RS07680	3694	4294	3373	4166	5418	5526	5120	4815	3204	4542	3818	4353
HP_RS07685	12918	24137	11485	14394	11131	14426	15596	11501	10627	11558	14158	11908
HP_RS07690	8831	20870	8248	20331	10078	13534	14115	11319	9951	10411	12892	11009
HP_RS07695	1308	1594	1133	3752	4279	4479	3195	2486	1955	2323	2454	2261
HP_RS07700	1249	1559	1188	2634	2291	2492	2227	1824	1435	1771	1707	1873
HP_RS07705	5732	5885	4987	4920	7505	8041	7927	8020	4780	7643	5944	7492
HP_RS07710	7074	8010	6001	8252	11372	12224	10405	9304	6876	8767	8754	9037
HP_RS07715	10214	12046	8893	9415	14292	14609	15891	14160	10212	12743	13028	12535
HP_RS07720	1164	1612	962	819	1245	1362	2246	2143	1467	2225	1753	2127
HP_RS07725	15948	21021	15125	11509	9519	10438	20289	23717	13210	22875	17716	21704
HP_RS07730	23009	28704	22112	12727	9541	10498	28993	35394	20812	33516	26862	35013
HP_RS07735	151446	193192	144770	120039	103607	115709	75872	72736	56284	73297	71475	73721
HP_RS07740	8180	14012	7496	39456	29290	34708	3908	2930	2974	3228	3725	3166
HP_RS07745	281	370	199	778	801	719	771	506	476	502	594	564
HP_RS07750	48	101	48	155	228	182	259	158	164	174	249	237
HP_RS07755	459	623	427	922	998	936	1138	825	704	879	852	848
HP_RS07760	650	585	607	1014	1137	994	1379	1075	944	1128	1176	1138
HP_RS07765	1004	1191	870	1349	1706	1677	1980	1636	1173	1465	1494	1493
HP_RS07770	749	744	632	1372	1512	1452	1958	1549	1061	1445	1325	1362
HP_RS07775	911	947	796	1382	1552	1491	2337	1696	1350	1645	1612	1643
HP_RS07780	1939	2447	1604	3242	3883	4070	4518	3418	2572	3473	3099	3421
HP_RS07785	1952	2636	1794	1458	1433	1496	2599	2410	1624	2532	1993	2470
HP_RS07790	3906	4468	3570	2870	3117	3255	4715	4383	3042	3986	3610	3762
HP_RS07795	1300	1841	1258	1369	1339	1313	1539	1365	1050	1192	1156	1281
HP_RS07800	1176	1416	1237	2349	1997	1990	1981	1684	1100	1550	1527	1553
HP_RS07805	736	839	828	918	972	1000	1744	1440	948	1302	1302	1164
HP_RS07810	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS07815	423	574	349	562	599	688	957	734	553	744	813	684
HP_RS07820	526	662	492	874	585	666	1458	1254	825	1168	1161	1019
HP_RS07825	714	906	664	1354	1569	1636	2169	2037	1065	2048	1437	1799
HP_RS07830	1945	2301	1900	12757	8729	9807	4057	7933	2818	7659	3476	7281
HP_RS07835	1760	2013	1503	12278	8131	8919	3884	6878	2722	6712	3420	6309
HP_RS07840	462	561	346	1250	1243	1264	1054	1142	610	1058	682	1064
HP_RS07845	6100	7071	5708	5303	4306	4634	9515	8194	5710	7332	7423	7452
HP_RS07850	456	602	417	1756	1841	1865	913	605	480	591	718	580
HP_RS07855	653	1002	636	1129	1708	1737	999	842	622	858	764	834
HP_RS07910	9752	14394	9842	3246	5176	5589	12832	16814	7273	15163	11332	14939
HP_RS07860	42731	71509	40524	13244	16366	18895	43126	57551	27666	54756	39498	54445
HP_RS07865	523	561	500	1038	1646	1640	717	686	391	720	597	547
